/vout X,/vout Y
0,0.8999983418730505
0.018,0.8999972495963806
0.036,0.8999954220480343
0.05400000000000001,0.899992354084272
0.07200000000000001,0.8999871863086425
0.09000000000000001,0.8999784514774551
0.108,0.8999636366156963
0.126,0.8999384251571134
0.144,0.8998953838610033
0.162,0.8998216867421532
0.18,0.8996951701834633
0.1980000000000001,0.8994774958313805
0.2160000000000001,0.8991022824397574
0.2340000000000001,0.8984543740094554
0.2520000000000001,0.8973329926935089
0.2700000000000001,0.8953836264257511
0.2880000000000001,0.8919618448115041
0.3060000000000002,0.885820070800214
0.3240000000000002,0.8741271632600233
0.3420000000000002,0.84905854743241
0.3600000000000002,0.7943492668343595
0.3780000000000002,0.7090586994521254
0.3960000000000002,0.6051780119011343
0.4140000000000003,0.5272428379543465
0.4320000000000003,0.4841421315257908
0.4500000000000003,0.4549995161842001
0.4680000000000003,0.432014446008487
0.4860000000000003,0.4124071305474001
0.5040000000000003,0.3948051502722916
0.5220000000000004,0.3785199226242895
0.5400000000000004,0.3631465236888226
0.5580000000000004,0.3484396368483959
0.5760000000000004,0.3342532551599917
0.5940000000000004,0.3205085931599194
0.6120000000000004,0.3071755553324826
0.6300000000000004,0.2942612559989623
0.6480000000000005,0.2818020657334734
0.6660000000000005,0.2698566277839495
0.6840000000000005,0.2584976625757325
0.7020000000000005,0.2478011156570578
0.7200000000000005,0.2378329660409613
0.7380000000000005,0.2286364869301095
0.7560000000000006,0.2202241725859537
0.7740000000000006,0.2125771434450408
0.7920000000000006,0.2056513047732696
0.8100000000000006,0.1993867954334062
0.8280000000000006,0.1937171059208156
0.8460000000000006,0.1885758527516178
0.8640000000000007,0.1839008644260603
0.8820000000000007,0.1796361260190869
0.9,0.1757323298015829
